"2020 Men"
"rank          firstname     lastname        country   skill           points"
"278 Roberto         Quiroz         ECU     40   163"
"279 Goncalo         Oliveira       PRT     40   163"
"280 Borna           Gojo           CRO     40   162"
"281 Chun Hsin       Tseng          TPE     40   159"
"282 Sasi            Kumar Mukund IND       40   157"
"283 Andrea          Arnaboldi      ITA     40   155"
"284 Marcelo Tomas   Barrios Vera   CHI     40   154"
"285 Lorenzo         Musetti        ITA     40   151"
"286 Jack            Draper         GBR     40   150"
"287 Kevin           King           USA     40   150"
"288 Jenson          Brooksby       USA     40   149"
"289 Blaz            Kavcic         SLO     40   148"
"290 Thomaz          Bellucci       BRA     40   144"
"291 John-Patrick    Smith          AUS     40   143"
"292 Jose            Hernandez-Fernandez"
"DOM     40   142"
"293 Alex            Molcan         SVK     40   142"
"294 Lucas           Miedler        AUT     40   142"
"295 Matthew         Ebden          AUS     40   141"
"296 Santiago        Giraldo        COL     40   140"
"297 Javier          Barranco CosanoESP     40   140"
"298 Pedro           Sakamoto       BRA     40   140"
"299 Marc-Andrea     Huesler        SUI     40   139"
"300 Kian Vince      Requintina     PHP    100     0"
""
